,ES,NK,FESX,TU,GC,ED
2000-01-04,-0.0376683143003238,-0.007947019867549643,-0.0390785684903332,0.0012615311834740517,,0.000591556870126464
2000-01-05,0.0010626992561104665,-0.008010680907877155,-0.023544520547945202,-0.0013386880856760541,-0.005639760310186648,-0.0005912071374826189
2000-01-06,-0.0058386411889597145,-0.029878869448183076,-0.005918456817185391,0.0007096672449140584,0.0010634526763557695,0.000430223178273792
2000-01-07,0.03915287417689983,0.024972253052164328,0.03285556780595367,0.0007091639744700728,0.001770538243626163,0.0005913024780948017
2000-01-10,0.009933207741051442,0.010557661072008617,0.013450042698548215,-0.001102362204724372,-0.0007069635913750094,-0.0005909530460942447
2000-01-11,-0.013735797863320354,-0.004821859094562009,-0.00821571518854014,-0.001497714015450069,0.006013441811107079,-0.0010213406439821826
2000-01-12,-0.00859697386519942,-0.00026917900403766737,-0.009345794392523366,-0.0006315623273072113,-0.0024613220815752346,-0.00037666810159275865
2000-01-13,0.012140131807145238,0.020463112547119078,0.010077186963979523,0.0015799036258787869,0.004934790271413636,0.0008074500726704681
2000-01-14,0.013365318711446195,0.005804749340369453,0.039482063256208955,-0.0008675763072797382,-0.000701508242721971,-0.0005378657487090654
2000-01-17,,,0.006126199714110658,,,
2000-01-18,-0.006256340886033107,-0.0015739769150052707,-0.029632636492794795,-0.0007104515314177995,0.016497016497016626,-0.0003228931223765441
2000-01-19,0.0022120129317679815,-0.003941145559642645,-0.002509935160008414,0.0005529662690575421,0.0024171270718231774,0.00021533161068054696
2000-01-20,-0.011035653650254718,-0.0050118702189395625,0.004822814007129361,-0.000473709142586487,-0.003444712366517444,-0.00010764262648010892
2000-01-21,-0.0013733905579399464,-0.005832449628844105,-0.017111853088480844,7.898894154823033e-05,0.0013826477704803608,0.00021530842932504513
2000-01-24,-0.028537046587588155,-0.0021333333333333204,-0.002123142250530785,0.0011057578390332168,-0.005522954780807665,0.00048433968356476065
2000-01-25,0.004423995752964149,0.014163548904329248,-0.0021276595744680327,-0.0002366863905325367,-0.00520652551197498,-5.3789468022147346e-05
2000-01-26,-0.0021141649048626032,0.007905138339920903,0.009168443496801792,-0.0003945707070707183,-0.00034891835310546515,-0.0002689618074234179
2000-01-27,-0.00370762711864403,0.0002614379084966423,0.020916965983519997,-0.0011841793637009657,0.0020942408376964927,-0.0005380683346785098
2000-01-28,-0.031011873117136268,-0.002090956612650241,-0.01427980132450335,-0.001185583306987037,-0.014280738418669503,-0.00123822341857327
2000-01-31,0.024689100219458693,0.022001047668936513,-0.015956330044089806,-0.0010287251721136093,0.0007067137809186885,-0.0008624407072013174
2000-02-02,-0.0017646020822305042,0.007409299948901271,0.01946169772256723,-0.0005542359461598867,0.008058864751226302,-0.0007550426059755866
2000-02-03,0.01520240410111362,0.01065178797869648,0.026198212835093493,0.001346747999683151,0.00764685436218282,0.0002698618307426237
2000-02-04,-0.003134250391781279,-0.0045169385194478995,0.013259449831783066,-0.0014240506329114,0.07968264918937562,-0.00037770463497555085
2000-02-07,-0.0029694323144104917,0.0027728762288883324,-0.012109374999999978,-0.0011884012042465697,-0.027156549520766737,-0.00037784734967072353
2000-02-08,0.013139453398738565,0.007290095525389617,0.02649268485567413,0.00015864202427229301,-0.00919540229885063,0.00048598736432858836
2000-02-09,-0.018848348607988896,-0.008485150985774847,-0.004044684129429932,0.0001586168609724048,0.02287040106065641,-0.0001079447322971383
2000-02-10,0.0,-0.004782280392650384,0.0011603171533551837,0.00015859170565368785,0.0327284510693453,0.00032386915686055673
2000-02-11,-0.01586182587240037,-0.008598887202832528,0.016998261541433246,0.0006342662332514681,-0.016002510197677955,0.0002698035829915568
2000-02-14,0.0016117478510029315,0.0033163265306122014,-0.02165242165242165,0.0011884953648679808,-0.008290816326530726,0.0005934077790363812
2000-02-15,0.00786697657786517,-0.011950165268243107,-0.020772665501844312,-0.00047483380816715215,-0.022186495176848786,-0.0002695708432175481
2000-02-16,-0.011708355508249113,0.010550694801852778,0.011895321173671647,7.917656373712667e-05,0.002959552778691199,-0.00021571482500148953
2000-02-17,-0.005205528630407463,0.008403361344537785,0.004898119122257016,-0.0010292138389675909,-0.003934426229508126,-0.0009169858136900411
2000-02-18,-0.022735474557921354,-0.008585858585858586,-0.0017547280171573698,0.0007925186241877213,0.011520737327188835,5.398984990812039e-05
2000-02-21,,,-0.0126953125,,,
2000-02-22,-0.004062038404726742,-0.0033112582781457123,0.002769535113748667,0.002375673107380516,0.0013016596160102534,0.0015116341845273773
2000-02-23,0.011494252873563315,0.006644518272425293,0.007101992503452337,-0.0018960341286142768,-0.017224569385765442,-0.0007007708479327412
2000-02-24,-0.006231671554252194,-0.009647118558009593,-0.0019588638589618235,0.0022953933829348294,-0.004960317460317443,0.0014025245441795509
2000-02-25,-0.013094798967170806,0.007177646757241751,0.028655544651619236,0.001421464108031234,-0.02093718843469572,0.0010773540185304853
2000-02-28,0.008035881143711565,0.0055993891575465415,-0.02213318069070791,-0.001577162684330835,-0.0013577732518670338,-0.0008071459319844987
2000-02-29,0.01742677048572494,0.01518602885345488,0.01658536585365855,-0.0001579654055762214,0.0,-0.0002692659809360176
2000-03-02,0.0,-0.0027472527472527375,0.03371428571428581,-0.00023736055067646866,-0.012274122059324988,5.390254420012397e-05
2000-03-03,0.019247905899126616,0.009015777610818843,0.007554818500092209,0.0006331117442228695,0.0020711080428030826,0.00032339783323442894
2000-03-06,-0.010316488896660259,-0.019607843137254943,0.002011704462326236,-0.0010281556469471376,-0.003100241129865733,-0.0007004687752573124
2000-03-07,-0.03162544169611303,-0.0025316455696202667,-0.009490782989596602,0.0011083841342727219,0.01485832757429173,0.00048527984471036234
2000-03-08,0.010034665207079074,0.0068527918781726704,-0.011608623548922004,-0.00015816528272039054,-0.011235955056179803,-0.00016168148746964484
2000-03-09,0.028179190751445038,-0.001260398285858333,-0.00018642803877699787,0.00047457090880320685,0.007920110192837448,0.00021561017680027383
